"","date","Team","Opponent","Player","#","Pos","Age","Club","Min","Gls","Ast","PK","PKatt","Sh","SoT","CrdY","CrdR","Touches","Tkl","Int","Blocks","xG","npxG","xAG","SCA","GCA","Cmp","Att","Cmp%","PrgP","Carries","PrgC","Att","Succ"
"58","November-25-2022","United States","England","Sergiño Dest","2","RB","22-022","1.it Milan","77","0","0","0","0","1","0","0","0","50","1","0","2","0.1","0.1","0.1","3","0","34","39","87.2","0","28","3","0","0"
"59","November-25-2022","United States","England","Shaquell Moore","18","RB","26-023","1.us Nashville","13","0","0","0","0","0","0","0","0","15","0","0","0","0.0","0.0","0.0","0","0","12","14","85.7","1","13","1","0","0"
"60","November-25-2022","United States","England","Matt Turner","1","GK","28-154","1.eng Arsenal","90","0","0","0","0","0","0","0","0","40","0","0","0","0.0","0.0","0.0","0","0","30","38","78.9","0","28","0","0","0"
"61","United States-November-29","IR","Iran","Sardar Azmoun","20","FW","27-332","1.de Leverkusen","45","0","0","0","0","0","0","0","0","13","0","0","0","0.0","0.0","0.0","0","0","6","12","50.0","1","6","1","0","0"
"62","United States-November-29","IR","Iran","Saman Ghoddos","14","AM","29-084","1.eng Brentford","45","0","0","0","0","1","0","0","0","24","1","0","0","0.2","0.2","0.0","1","0","15","20","75.0","2","19","0","0","0"
"63","United States-November-29","IR","Iran","Mehdi Taremi","9","FW","30-134","1.pt Porto","90","0","0","0","0","1","0","0","0","53","4","0","2","0.2","0.2","0.0","0","0","26","35","74.3","1","30","3","3","0"
"64","United States-November-29","IR","Iran","Ehsan Hajsafi","3","LM,LB","32-277","1.gr AEK Athens","71","0","0","0","0","0","0","0","0","43","2","0","2","0.0","0.0","0.0","0","0","25","37","67.6","3","25","2","0","0"
"65","United States-November-29","IR","Iran","Abolfazl Jalali","25","LB","24-156","1.ir Esteghlal","19","0","0","0","0","0","0","1","0","34","0","0","0","0.0","0.0","0.0","1","0","20","29","69.0","3","20","1","5","1"
"66","United States-November-29","IR","Iran","Ahmad Nourollahi","21","CM,RM","29-300","1.ae Al-Ahli Dubai FC","70","0","0","0","0","0","0","0","0","21","0","0","0","0.0","0.0","0.0","0","0","12","17","70.6","3","11","1","0","0"
"67","United States-November-29","IR","Iran","Mehdi Torabi","16","RM","28-080","1.ir Persepolis","20","0","0","0","0","0","0","0","0","18","0","0","0","0.0","0.0","0.0","0","0","15","16","93.8","1","15","1","0","0"
